month_of_delay,datetime,hbt,hbtqf,age_group,age_group_qf,reason_for_delay,reason_for_delay_qf,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
201804,2018-04-01,S08000025,NA,18-74,NA,All Delay Reasons,d,0,0
201804,2018-04-01,S08000025,NA,18-74,NA,Code 9 Reasons,NA,0,0
201804,2018-04-01,S08000025,NA,18-74,NA,Health and Social Care Reasons,NA,0,0
201804,2018-04-01,S08000025,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000025,NA,75plus,NA,All Delay Reasons,d,30,1
201804,2018-04-01,S08000025,NA,75plus,NA,Code 9 Reasons,NA,30,1
201804,2018-04-01,S08000025,NA,75plus,NA,Health and Social Care Reasons,NA,0,0
201804,2018-04-01,S08000025,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,18plus,d,All Delay Reasons,d,37,1
201804,2018-04-01,S08000026,NA,18plus,d,Code 9 Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,18plus,d,Health and Social Care Reasons,NA,37,1
201804,2018-04-01,S08000026,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,18-74,NA,All Delay Reasons,d,7,0
201804,2018-04-01,S08000026,NA,18-74,NA,Code 9 Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,18-74,NA,Health and Social Care Reasons,NA,7,0
201804,2018-04-01,S08000026,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,75plus,NA,All Delay Reasons,d,30,1
201804,2018-04-01,S08000026,NA,75plus,NA,Code 9 Reasons,NA,0,0
201804,2018-04-01,S08000026,NA,75plus,NA,Health and Social Care Reasons,NA,30,1
201804,2018-04-01,S08000026,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000028,NA,18plus,d,All Delay Reasons,d,535,18
201804,2018-04-01,S08000028,NA,18plus,d,Code 9 Reasons,NA,193,6
201804,2018-04-01,S08000028,NA,18plus,d,Health and Social Care Reasons,NA,305,10
201804,2018-04-01,S08000028,NA,18plus,d,Patient and Family Related Reasons,NA,37,1
201804,2018-04-01,S08000028,NA,18-74,NA,All Delay Reasons,d,99,3
201804,2018-04-01,S08000028,NA,18-74,NA,Code 9 Reasons,NA,30,1
201804,2018-04-01,S08000028,NA,18-74,NA,Health and Social Care Reasons,NA,69,2
201804,2018-04-01,S08000028,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000028,NA,75plus,NA,All Delay Reasons,d,436,15
201804,2018-04-01,S08000028,NA,75plus,NA,Code 9 Reasons,NA,163,5
201804,2018-04-01,S08000028,NA,75plus,NA,Health and Social Care Reasons,NA,236,8
201804,2018-04-01,S08000028,NA,75plus,NA,Patient and Family Related Reasons,NA,37,1
201804,2018-04-01,S08000029,NA,18plus,d,All Delay Reasons,d,2154,72
201804,2018-04-01,S08000029,NA,18plus,d,Code 9 Reasons,NA,912,30
201804,2018-04-01,S08000029,NA,18plus,d,Health and Social Care Reasons,NA,1242,41
201804,2018-04-01,S08000029,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000029,NA,18-74,NA,All Delay Reasons,d,859,29
201804,2018-04-01,S08000029,NA,18-74,NA,Code 9 Reasons,NA,469,16
201804,2018-04-01,S08000029,NA,18-74,NA,Health and Social Care Reasons,NA,390,13
201804,2018-04-01,S08000029,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000029,NA,75plus,NA,All Delay Reasons,d,1295,43
201804,2018-04-01,S08000029,NA,75plus,NA,Code 9 Reasons,NA,443,15
201804,2018-04-01,S08000029,NA,75plus,NA,Health and Social Care Reasons,NA,852,28
201804,2018-04-01,S08000029,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000030,NA,18plus,d,All Delay Reasons,d,2413,80
201804,2018-04-01,S08000030,NA,18plus,d,Code 9 Reasons,NA,819,27
201804,2018-04-01,S08000030,NA,18plus,d,Health and Social Care Reasons,NA,1534,51
201804,2018-04-01,S08000030,NA,18plus,d,Patient and Family Related Reasons,NA,60,2
201804,2018-04-01,S08000030,NA,18-74,NA,All Delay Reasons,d,986,33
201804,2018-04-01,S08000030,NA,18-74,NA,Code 9 Reasons,NA,546,18
201804,2018-04-01,S08000030,NA,18-74,NA,Health and Social Care Reasons,NA,440,15
201804,2018-04-01,S08000030,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000030,NA,75plus,NA,All Delay Reasons,d,1427,48
201804,2018-04-01,S08000030,NA,75plus,NA,Code 9 Reasons,NA,273,9
201804,2018-04-01,S08000030,NA,75plus,NA,Health and Social Care Reasons,NA,1094,36
201804,2018-04-01,S08000030,NA,75plus,NA,Patient and Family Related Reasons,NA,60,2
201804,2018-04-01,S08000031,NA,18plus,d,All Delay Reasons,d,5354,178
201804,2018-04-01,S08000031,NA,18plus,d,Code 9 Reasons,NA,1489,50
201804,2018-04-01,S08000031,NA,18plus,d,Health and Social Care Reasons,NA,3688,123
201804,2018-04-01,S08000031,NA,18plus,d,Patient and Family Related Reasons,NA,177,6
201804,2018-04-01,S08000031,NA,18-74,NA,All Delay Reasons,d,2522,84
201804,2018-04-01,S08000031,NA,18-74,NA,Code 9 Reasons,NA,873,29
201804,2018-04-01,S08000031,NA,18-74,NA,Health and Social Care Reasons,NA,1596,53
201804,2018-04-01,S08000031,NA,18-74,NA,Patient and Family Related Reasons,NA,53,2
201804,2018-04-01,S08000031,NA,75plus,NA,All Delay Reasons,d,2832,94
201804,2018-04-01,S08000031,NA,75plus,NA,Code 9 Reasons,NA,616,21
201804,2018-04-01,S08000031,NA,75plus,NA,Health and Social Care Reasons,NA,2092,70
201804,2018-04-01,S08000031,NA,75plus,NA,Patient and Family Related Reasons,NA,124,4
201804,2018-04-01,S08000032,NA,18plus,d,All Delay Reasons,d,4769,159
201804,2018-04-01,S08000032,NA,18plus,d,Code 9 Reasons,NA,448,15
201804,2018-04-01,S08000032,NA,18plus,d,Health and Social Care Reasons,NA,4316,144
201804,2018-04-01,S08000032,NA,18plus,d,Patient and Family Related Reasons,NA,5,0
201804,2018-04-01,S08000032,NA,18-74,NA,All Delay Reasons,d,1444,48
201804,2018-04-01,S08000032,NA,18-74,NA,Code 9 Reasons,NA,265,9
201804,2018-04-01,S08000032,NA,18-74,NA,Health and Social Care Reasons,NA,1179,39
201804,2018-04-01,S08000032,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201804,2018-04-01,S08000032,NA,75plus,NA,All Delay Reasons,d,3325,111
201804,2018-04-01,S08000032,NA,75plus,NA,Code 9 Reasons,NA,183,6
201804,2018-04-01,S08000032,NA,75plus,NA,Health and Social Care Reasons,NA,3137,105
201804,2018-04-01,S08000032,NA,75plus,NA,Patient and Family Related Reasons,NA,5,0
201804,2018-04-01,S92000003,d,18plus,d,All Delay Reasons,d,41453,1382
201804,2018-04-01,S92000003,d,18plus,d,Code 9 Reasons,NA,7996,267
201804,2018-04-01,S92000003,d,18plus,d,Health and Social Care Reasons,NA,32491,1083
201804,2018-04-01,S92000003,d,18plus,d,Patient and Family Related Reasons,NA,966,32
201804,2018-04-01,S92000003,d,18-74,NA,All Delay Reasons,d,12984,433
201804,2018-04-01,S92000003,d,18-74,NA,Code 9 Reasons,NA,3725,124
201804,2018-04-01,S92000003,d,18-74,NA,Health and Social Care Reasons,NA,8998,300
201804,2018-04-01,S92000003,d,18-74,NA,Patient and Family Related Reasons,NA,261,9
201804,2018-04-01,S92000003,d,75plus,NA,All Delay Reasons,d,28469,949
201804,2018-04-01,S92000003,d,75plus,NA,Code 9 Reasons,NA,4271,142
201804,2018-04-01,S92000003,d,75plus,NA,Health and Social Care Reasons,NA,23493,783
201804,2018-04-01,S92000003,d,75plus,NA,Patient and Family Related Reasons,NA,705,24
201805,2018-05-01,S08000015,NA,18plus,d,All Delay Reasons,d,3688,119
201805,2018-05-01,S08000015,NA,18plus,d,Code 9 Reasons,NA,772,25
201805,2018-05-01,S08000015,NA,18plus,d,Health and Social Care Reasons,NA,2893,93
201805,2018-05-01,S08000015,NA,18plus,d,Patient and Family Related Reasons,NA,23,1
201805,2018-05-01,S08000015,NA,18-74,NA,All Delay Reasons,d,665,21
201805,2018-05-01,S08000015,NA,18-74,NA,Code 9 Reasons,NA,158,5
201805,2018-05-01,S08000015,NA,18-74,NA,Health and Social Care Reasons,NA,507,16
201805,2018-05-01,S08000015,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000015,NA,75plus,NA,All Delay Reasons,d,3023,98
201805,2018-05-01,S08000015,NA,75plus,NA,Code 9 Reasons,NA,614,20
201805,2018-05-01,S08000015,NA,75plus,NA,Health and Social Care Reasons,NA,2386,77
201805,2018-05-01,S08000015,NA,75plus,NA,Patient and Family Related Reasons,NA,23,1
201805,2018-05-01,S08000016,NA,18plus,d,All Delay Reasons,d,1362,44
201805,2018-05-01,S08000016,NA,18plus,d,Code 9 Reasons,NA,523,17
201805,2018-05-01,S08000016,NA,18plus,d,Health and Social Care Reasons,NA,768,25
201805,2018-05-01,S08000016,NA,18plus,d,Patient and Family Related Reasons,NA,71,2
201805,2018-05-01,S08000016,NA,18-74,NA,All Delay Reasons,d,356,11
201805,2018-05-01,S08000016,NA,18-74,NA,Code 9 Reasons,NA,262,8
201805,2018-05-01,S08000016,NA,18-74,NA,Health and Social Care Reasons,NA,59,2
201805,2018-05-01,S08000016,NA,18-74,NA,Patient and Family Related Reasons,NA,35,1
201805,2018-05-01,S08000016,NA,75plus,NA,All Delay Reasons,d,1006,32
201805,2018-05-01,S08000016,NA,75plus,NA,Code 9 Reasons,NA,261,8
201805,2018-05-01,S08000016,NA,75plus,NA,Health and Social Care Reasons,NA,709,23
201805,2018-05-01,S08000016,NA,75plus,NA,Patient and Family Related Reasons,NA,36,1
201805,2018-05-01,S08000017,NA,18plus,d,All Delay Reasons,d,823,27
201805,2018-05-01,S08000017,NA,18plus,d,Code 9 Reasons,NA,217,7
201805,2018-05-01,S08000017,NA,18plus,d,Health and Social Care Reasons,NA,606,20
201805,2018-05-01,S08000017,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000017,NA,18-74,NA,All Delay Reasons,d,217,7
201805,2018-05-01,S08000017,NA,18-74,NA,Code 9 Reasons,NA,124,4
201805,2018-05-01,S08000017,NA,18-74,NA,Health and Social Care Reasons,NA,93,3
201805,2018-05-01,S08000017,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000017,NA,75plus,NA,All Delay Reasons,d,606,20
201805,2018-05-01,S08000017,NA,75plus,NA,Code 9 Reasons,NA,93,3
201805,2018-05-01,S08000017,NA,75plus,NA,Health and Social Care Reasons,NA,513,17
201805,2018-05-01,S08000017,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000019,NA,18plus,d,All Delay Reasons,d,2391,77
201805,2018-05-01,S08000019,NA,18plus,d,Code 9 Reasons,NA,911,29
201805,2018-05-01,S08000019,NA,18plus,d,Health and Social Care Reasons,NA,1290,42
201805,2018-05-01,S08000019,NA,18plus,d,Patient and Family Related Reasons,NA,190,6
201805,2018-05-01,S08000019,NA,18-74,NA,All Delay Reasons,d,779,25
201805,2018-05-01,S08000019,NA,18-74,NA,Code 9 Reasons,NA,425,14
201805,2018-05-01,S08000019,NA,18-74,NA,Health and Social Care Reasons,NA,307,10
201805,2018-05-01,S08000019,NA,18-74,NA,Patient and Family Related Reasons,NA,47,2
201805,2018-05-01,S08000019,NA,75plus,NA,All Delay Reasons,d,1612,52
201805,2018-05-01,S08000019,NA,75plus,NA,Code 9 Reasons,NA,486,16
201805,2018-05-01,S08000019,NA,75plus,NA,Health and Social Care Reasons,NA,983,32
201805,2018-05-01,S08000019,NA,75plus,NA,Patient and Family Related Reasons,NA,143,5
201805,2018-05-01,S08000020,NA,18plus,d,All Delay Reasons,d,3623,117
201805,2018-05-01,S08000020,NA,18plus,d,Code 9 Reasons,NA,520,17
201805,2018-05-01,S08000020,NA,18plus,d,Health and Social Care Reasons,NA,2887,93
201805,2018-05-01,S08000020,NA,18plus,d,Patient and Family Related Reasons,NA,216,7
201805,2018-05-01,S08000020,NA,18-74,NA,All Delay Reasons,d,912,29
201805,2018-05-01,S08000020,NA,18-74,NA,Code 9 Reasons,NA,209,7
201805,2018-05-01,S08000020,NA,18-74,NA,Health and Social Care Reasons,NA,671,22
201805,2018-05-01,S08000020,NA,18-74,NA,Patient and Family Related Reasons,NA,32,1
201805,2018-05-01,S08000020,NA,75plus,NA,All Delay Reasons,d,2711,87
201805,2018-05-01,S08000020,NA,75plus,NA,Code 9 Reasons,NA,311,10
201805,2018-05-01,S08000020,NA,75plus,NA,Health and Social Care Reasons,NA,2216,71
201805,2018-05-01,S08000020,NA,75plus,NA,Patient and Family Related Reasons,NA,184,6
201805,2018-05-01,S08000022,NA,18plus,d,All Delay Reasons,d,3668,118
201805,2018-05-01,S08000022,NA,18plus,d,Code 9 Reasons,NA,598,19
201805,2018-05-01,S08000022,NA,18plus,d,Health and Social Care Reasons,NA,2977,96
201805,2018-05-01,S08000022,NA,18plus,d,Patient and Family Related Reasons,NA,93,3
201805,2018-05-01,S08000022,NA,18-74,NA,All Delay Reasons,d,972,31
201805,2018-05-01,S08000022,NA,18-74,NA,Code 9 Reasons,NA,187,6
201805,2018-05-01,S08000022,NA,18-74,NA,Health and Social Care Reasons,NA,754,24
201805,2018-05-01,S08000022,NA,18-74,NA,Patient and Family Related Reasons,NA,31,1
201805,2018-05-01,S08000022,NA,75plus,NA,All Delay Reasons,d,2696,87
201805,2018-05-01,S08000022,NA,75plus,NA,Code 9 Reasons,NA,411,13
201805,2018-05-01,S08000022,NA,75plus,NA,Health and Social Care Reasons,NA,2223,72
201805,2018-05-01,S08000022,NA,75plus,NA,Patient and Family Related Reasons,NA,62,2
201805,2018-05-01,S08000024,NA,18plus,d,All Delay Reasons,d,11547,372
201805,2018-05-01,S08000024,NA,18plus,d,Code 9 Reasons,NA,830,27
201805,2018-05-01,S08000024,NA,18plus,d,Health and Social Care Reasons,NA,10649,344
201805,2018-05-01,S08000024,NA,18plus,d,Patient and Family Related Reasons,NA,68,2
201805,2018-05-01,S08000024,NA,18-74,NA,All Delay Reasons,d,3515,113
201805,2018-05-01,S08000024,NA,18-74,NA,Code 9 Reasons,NA,388,13
201805,2018-05-01,S08000024,NA,18-74,NA,Health and Social Care Reasons,NA,3072,99
201805,2018-05-01,S08000024,NA,18-74,NA,Patient and Family Related Reasons,NA,55,2
201805,2018-05-01,S08000024,NA,75plus,NA,All Delay Reasons,d,8032,259
201805,2018-05-01,S08000024,NA,75plus,NA,Code 9 Reasons,NA,442,14
201805,2018-05-01,S08000024,NA,75plus,NA,Health and Social Care Reasons,NA,7577,244
201805,2018-05-01,S08000024,NA,75plus,NA,Patient and Family Related Reasons,NA,13,0
201805,2018-05-01,S08000025,NA,18plus,d,All Delay Reasons,d,4,0
201805,2018-05-01,S08000025,NA,18plus,d,Code 9 Reasons,NA,4,0
201805,2018-05-01,S08000025,NA,18plus,d,Health and Social Care Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,18-74,NA,All Delay Reasons,d,0,0
201805,2018-05-01,S08000025,NA,18-74,NA,Code 9 Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,18-74,NA,Health and Social Care Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,75plus,NA,All Delay Reasons,d,4,0
201805,2018-05-01,S08000025,NA,75plus,NA,Code 9 Reasons,NA,4,0
201805,2018-05-01,S08000025,NA,75plus,NA,Health and Social Care Reasons,NA,0,0
201805,2018-05-01,S08000025,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000026,NA,18plus,d,All Delay Reasons,d,116,4
201805,2018-05-01,S08000026,NA,18plus,d,Code 9 Reasons,NA,66,2
201805,2018-05-01,S08000026,NA,18plus,d,Health and Social Care Reasons,NA,50,2
201805,2018-05-01,S08000026,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000026,NA,18-74,NA,All Delay Reasons,d,40,1
201805,2018-05-01,S08000026,NA,18-74,NA,Code 9 Reasons,NA,35,1
201805,2018-05-01,S08000026,NA,18-74,NA,Health and Social Care Reasons,NA,5,0
201805,2018-05-01,S08000026,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000026,NA,75plus,NA,All Delay Reasons,d,76,2
201805,2018-05-01,S08000026,NA,75plus,NA,Code 9 Reasons,NA,31,1
201805,2018-05-01,S08000026,NA,75plus,NA,Health and Social Care Reasons,NA,45,1
201805,2018-05-01,S08000026,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000028,NA,18plus,d,All Delay Reasons,d,618,20
201805,2018-05-01,S08000028,NA,18plus,d,Code 9 Reasons,NA,275,9
201805,2018-05-01,S08000028,NA,18plus,d,Health and Social Care Reasons,NA,343,11
201805,2018-05-01,S08000028,NA,18plus,d,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000028,NA,18-74,NA,All Delay Reasons,d,101,3
201805,2018-05-01,S08000028,NA,18-74,NA,Code 9 Reasons,NA,31,1
201805,2018-05-01,S08000028,NA,18-74,NA,Health and Social Care Reasons,NA,70,2
201805,2018-05-01,S08000028,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000028,NA,75plus,NA,All Delay Reasons,d,517,17
201805,2018-05-01,S08000028,NA,75plus,NA,Code 9 Reasons,NA,244,8
201805,2018-05-01,S08000028,NA,75plus,NA,Health and Social Care Reasons,NA,273,9
201805,2018-05-01,S08000028,NA,75plus,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000029,NA,18plus,d,All Delay Reasons,d,2408,78
201805,2018-05-01,S08000029,NA,18plus,d,Code 9 Reasons,NA,1006,32
201805,2018-05-01,S08000029,NA,18plus,d,Health and Social Care Reasons,NA,1385,45
201805,2018-05-01,S08000029,NA,18plus,d,Patient and Family Related Reasons,NA,17,1
201805,2018-05-01,S08000029,NA,18-74,NA,All Delay Reasons,d,1099,35
201805,2018-05-01,S08000029,NA,18-74,NA,Code 9 Reasons,NA,500,16
201805,2018-05-01,S08000029,NA,18-74,NA,Health and Social Care Reasons,NA,599,19
201805,2018-05-01,S08000029,NA,18-74,NA,Patient and Family Related Reasons,NA,0,0
201805,2018-05-01,S08000029,NA,75plus,NA,All Delay Reasons,d,1309,42
201805,2018-05-01,S08000029,NA,75plus,NA,Code 9 Reasons,NA,506,16
201805,2018-05-01,S08000029,NA,75plus,NA,Health and Social Care Reasons,NA,786,25
201805,2018-05-01,S08000029,NA,75plus,NA,Patient and Family Related Reasons,NA,17,1
201805,2018-05-01,S08000030,NA,18plus,d,All Delay Reasons,d,2481,80
201805,2018-05-01,S08000030,NA,18plus,d,Code 9 Reasons,NA,769,25
201805,2018-05-01,S08000030,NA,18plus,d,Health and Social Care Reasons,NA,1622,52
201805,2018-05-01,S08000030,NA,18plus,d,Patient and Family Related Reasons,NA,90,3
201805,2018-05-01,S08000030,NA,18-74,NA,All Delay Reasons,d,965,31
201805,2018-05-01,S08000030,NA,18-74,NA,Code 9 Reasons,NA,499,16
201805,2018-05-01,S08000030,NA,18-74,NA,Health and Social Care Reasons,NA,434,14
201805,2018-05-01,S08000030,NA,18-74,NA,Patient and Family Related Reasons,NA,32,1
201805,2018-05-01,S08000030,NA,75plus,NA,All Delay Reasons,d,1516,49
201805,2018-05-01,S08000030,NA,75plus,NA,Code 9 Reasons,NA,270,9
201805,2018-05-01,S08000030,NA,75plus,NA,Health and Social Care Reasons,NA,1188,38
201805,2018-05-01,S08000030,NA,75plus,NA,Patient and Family Related Reasons,NA,58,2
