quarter,season,quarter_year,quarters,quarter_qf,hb.x,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,available_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,id,location_name,postcode
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,36,NA,36,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,C3,NA,Anaesthetics,NA,1,NA,1,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2395,NA,2050,NA,27,NA,23,NA,86,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2574,NA,2294,NA,28,NA,25,NA,89,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2728,NA,2396,NA,30,NA,26,NA,88,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2920,NA,2574,NA,32,NA,28,NA,88,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2757,NA,2483,NA,31,NA,28,NA,90,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2637,NA,2363,NA,29,NA,26,NA,90,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2740,NA,2352,NA,30,NA,26,NA,86,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2591,NA,2276,NA,28,NA,25,NA,88,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,2692,NA,2248,NA,30,NA,25,NA,84,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4515,NA,3294,NA,50,NA,36,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4112,NA,3011,NA,45,NA,33,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3667,NA,2548,NA,40,NA,28,NA,69,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,4251,NA,3061,NA,47,NA,34,NA,72,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3400,NA,3118,NA,37,NA,34,NA,92,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,A2,NA,Cardiology,NA,3682,NA,3196,NA,40,NA,35,NA,87,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7781,NA,5858,NA,86,NA,65,NA,75,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7818,NA,6052,NA,86,NA,67,NA,77,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7681,NA,5916,NA,83,NA,64,NA,77,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7176,NA,5497,NA,78,NA,60,NA,77,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7230,NA,5644,NA,80,NA,63,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7428,NA,6188,NA,82,NA,68,NA,83,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7644,NA,6197,NA,83,NA,67,NA,81,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7877,NA,6165,NA,86,NA,67,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7486,NA,5828,NA,82,NA,64,NA,78,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,6612,NA,3707,NA,73,NA,41,NA,56,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7074,NA,5123,NA,77,NA,56,NA,72,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,6981,NA,5396,NA,76,NA,59,NA,77,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7232,NA,5083,NA,80,NA,56,NA,70,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7502,NA,5413,NA,82,NA,59,NA,72,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,C4,NA,Cardiothoracic Surgery,NA,7688,NA,5321,NA,84,NA,58,NA,69,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,H1,NA,Clinical Radiology,NA,27,NA,27,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,H1,NA,Clinical Radiology,NA,48,NA,48,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,NA,z,Dental Grouping,d,7,NA,7,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,NA,z,Dental Grouping,d,2,NA,2,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,NA,z,Dental Grouping,d,2,NA,2,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,260,NA,260,NA,3,NA,3,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,184,NA,184,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,122,NA,122,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,157,NA,157,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,113,NA,113,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,C5,NA,"Ear, Nose & Throat (ENT)",NA,28,NA,28,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,72,NA,72,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,49,NA,49,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,61,NA,61,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,94,NA,94,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,39,NA,39,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,43,NA,43,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,34,NA,34,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,47,NA,47,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,55,NA,55,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,804,NA,111,NA,9,NA,1,NA,14,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,1022,NA,145,NA,11,NA,2,NA,14,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,67,NA,67,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,154,NA,154,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,1001,NA,33,NA,11,NA,0,NA,3,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,C1,NA,General Surgery,NA,1336,NA,328,NA,15,NA,4,NA,25,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,51,NA,51,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,82,NA,82,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,91,NA,91,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,83,NA,83,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,79,NA,79,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,F2,NA,Gynaecology,NA,32,NA,32,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2554,NA,2209,NA,28,NA,25,NA,86,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2748,NA,2468,NA,30,NA,27,NA,90,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2886,NA,2554,NA,31,NA,28,NA,88,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,3078,NA,2732,NA,33,NA,30,NA,89,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2942,NA,2668,NA,33,NA,30,NA,91,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2776,NA,2502,NA,31,NA,27,NA,90,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2874,NA,2486,NA,31,NA,27,NA,86,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2731,NA,2416,NA,30,NA,26,NA,88,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,2836,NA,2392,NA,31,NA,26,NA,84,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,4547,NA,3326,NA,50,NA,37,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,4227,NA,3126,NA,46,NA,34,NA,74,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q4,Winter,2020,Q4,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,3771,NA,2649,NA,41,NA,29,NA,70,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,4396,NA,3198,NA,49,NA,36,NA,73,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,3587,NA,3305,NA,39,NA,36,NA,92,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,NA,z,Medical Grouping,d,3809,NA,3323,NA,41,NA,36,NA,87,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,C7,NA,Ophthalmology,NA,1,NA,1,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,C7,NA,Ophthalmology,NA,2,NA,2,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,D3,NA,Oral Surgery,NA,7,NA,7,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,D3,NA,Oral Surgery,NA,2,NA,2,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q3,Autumn,2021,Q3,p,SB0801,NA,D102H,NA,D3,NA,Oral Surgery,NA,2,NA,2,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,12,NA,12,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,9,NA,9,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,4,NA,4,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,1,NA,1,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,3,NA,3,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,5,NA,5,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q1,Spring,2021,Q1,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,16,NA,16,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2021Q2,Summer,2021,Q2,NA,SB0801,NA,D102H,NA,C9,NA,Plastic Surgery,NA,6,NA,6,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q1,Spring,2018,Q1,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,159,NA,159,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q2,Summer,2018,Q2,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,174,NA,174,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q3,Autumn,2018,Q3,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,158,NA,158,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2018Q4,Winter,2018,Q4,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,158,NA,158,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q1,Spring,2019,Q1,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,185,NA,185,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q2,Summer,2019,Q2,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,139,NA,139,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q3,Autumn,2019,Q3,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,134,NA,134,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2019Q4,Winter,2019,Q4,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,140,NA,140,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q1,Spring,2020,Q1,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,144,NA,144,NA,2,NA,2,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q2,Summer,2020,Q2,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,32,NA,32,NA,0,NA,0,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
2020Q3,Autumn,2020,Q3,NA,SB0801,NA,D102H,NA,AQ,NA,Respiratory Medicine,NA,115,NA,115,NA,1,NA,1,NA,100,NA,240,Golden Jubilee National Hospital,G81 4DY
